project;file;cyclomatic;cyclomatic density;sLOC logical;Manutenability;Halstead bugs;Hastead difficulty;Halstead effort;Halstead volume;Halstead vocabulary
ring-ui;components/login-dialog/service.js;1;12.5;8;87.226;0.083;11.375;2846.61;250.251;30
mumuy-widget;code/jquery.dialog.js;20;17.857;112;68.609;1.606;38.363;184776.081;4816.581;147
lulu;theme/modern/js/common/ui/Dialog.js;71;27.953;254;59.706;4.436;55.568;739438.537;13306.869;225
wijmo;wijmo/jquery.wijmo.wijdialog.js;131;18.849;695;59.398;11.767;82.388;2908350.686;35300.633;360
wijmo;wijmo/minified/jquery.wijmo.wijdialog.min.js;131;20.405;642;60.165;11.59;87.66;3048038.01;34771.24;338
kendo-ui;src/kendo.dialog.js;119;16.459;723;63.706;12.807;78.188;3004171.367;38422.456;496
jquery-ui;ui/widgets/dialog.js;104;20.472;508;64.483;9.161;64.738;1779132.047;27482.082;382
jxlib;src/Source/jx/dialog.js;82;21.984;373;58.021;7.086;63.32;1346031.934;21257.558;283
jxlib;src/Source/jx/dialog/confirm.js;15;18.072;83;57.735;1.089;25.505;83323.026;3266.866;113
jxlib;src/Source/jx/dialog/message.js;15;21.127;71;59.947;0.919;22.767;62746.935;2755.994;108
jxlib;src/Source/jx/dialog/prompt.js;17;16.832;101;55.496;1.488;22.735;101514.275;4465.102;136
